Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT,AvgCTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
5/16/2025,10:18,BKG100024,Cancelled by Customer,CUST16629,Prime Plus,Yelahanka,HSR Sector 3,,,1,Wrong Address,0,,0,,,,,,
5/21/2025,5:37,BKG100025,Cancelled by Driver,CUST16934,Bike,RT Nagar,Bommanahalli,,,0,,1,Customer related issue,0,,,,,,
5/17/2025,7:32,BKG100026,Cancelled by Driver,CUST15521,Prime Plus,Horamavu,Yelahanka,,,0,,1,More than permitted people in there,0,,,,,,
5/27/2025,18:37,BKG100027,Success,CUST11877,eBike,Yeshwanthpur,Mahadevpura,3,5,0,,0,,0,,58.08,7.8,4.6,4.1,Cash
5/13/2025,1:31,BKG100028,Success,CUST15433,Prime Plus,Magadi Road,Brookefield,7,5,0,,0,,0,,660.21,24.74,3.2,3.8,Net Banking
5/22/2025,19:29,BKG100029,Success,CUST11433,Prime Plus,Kudlu Gate,HSR Sector 2,8,6,0,,0,,0,,188.71,11.22,4.2,3.2,Credit Card
5/2/2025,20:48,BKG100030,Success,CUST19588,Bike,HSR Sector 1,HSR Sector 6,2,13,0,,0,,0,,291.21,8.42,4.7,4.9,Net Banking
5/3/2025,1:06,BKG100031,Success,CUST13619,Auto,Kudlu Gate,Shivajinagar,7,12,0,,0,,0,,382.51,2.89,4.6,3.7,Debit Card
5/24/2025,16:41,BKG100032,Success,CUST17314,Auto,Frazer Town,Kalena Agrahara,9,8,0,,0,,0,,319.86,23.21,3.9,4.9,UPI
5/2/2025,17:29,BKG100033,Incomplete,CUST17954,Auto,Yelahanka,Ulsoor,,,0,,0,,1,Vehicle Breakdown,,,,,
5/11/2025,14:24,BKG100034,Success,CUST17648,Prime SUV,Kalyan Nagar,Kudlu Gate,8,9,0,,0,,0,,311.6,20.14,4,4.7,Debit Card
5/3/2025,5:20,BKG100035,Cancelled by Driver,CUST19411,Prime SUV,Mahadevpura,Domlur,,,0,,1,Customer related issue,0,,,,,,
5/27/2025,8:25,BKG100036,Success,CUST17156,eBike,Malleshwaram,Hulimavu,4,13,0,,0,,0,,485.47,10.6,3.5,3.1,Debit Card
5/4/2025,20:24,BKG100037,Success,CUST16299,eBike,Basavanagudi,Shivajinagar,7,8,0,,0,,0,,372.18,22.39,4.6,4.3,Credit Card
5/4/2025,17:32,BKG100038,Cancelled by Customer,CUST15338,Mini,Rajajinagar,Magadi Road,,,1,Driver is not moving towards pickup location,0,,0,,,,,,
5/6/2025,6:09,BKG100039,Cancelled by Driver,CUST18896,Prime SUV,HSR Sector 7,Mahadevpura,,,0,,1,Personal & Car related issues,0,,,,,,
5/23/2025,3:20,BKG100040,Success,CUST17337,eBike,Brookefield,Indiranagar,5,15,0,,0,,0,,677.63,23.8,4.9,3.8,Credit Card
5/17/2025,16:33,BKG100041,Success,CUST17631,Prime Sedan,Yeshwanthpur,Kalyan Nagar,2,7,0,,0,,0,,466.91,5.47,3.9,3.3,Debit Card
5/24/2025,21:55,BKG100042,Success,CUST13037,Prime Sedan,Yelahanka,Nagarbhavi,4,11,0,,0,,0,,66.25,7.19,3.4,4,UPI
5/7/2025,19:43,BKG100043,Success,CUST14628,Auto,Frazer Town,HSR Sector 4,5,14,0,,0,,0,,751.2,5.7,4.1,4,Credit Card
5/10/2025,18:03,BKG100044,Success,CUST15596,Auto,Basavanagudi,Mahadevpura,6,5,0,,0,,0,,636.02,12.91,4.1,3.7,Cash
5/27/2025,7:38,BKG100045,Incomplete,CUST19317,Prime SUV,Peenya,Horamavu,,,0,,0,,1,Other Issue,,,,,
5/19/2025,1:16,BKG100046,Success,CUST18583,Auto,KR Puram,Frazer Town,7,9,0,,0,,0,,218.37,10.91,3,4.4,Net Banking
5/22/2025,0:18,BKG100047,Success,CUST18955,Prime SUV,Vijayanagar,Mahadevpura,8,15,0,,0,,0,,645.49,22.18,4.7,4.2,Debit Card
5/31/2025,21:22,BKG100048,Success,CUST10438,Prime SUV,Hulimavu,Bellandur,4,13,0,,0,,0,,756.97,4.12,3.9,4.2,UPI
5/7/2025,0:52,BKG100049,Incomplete,CUST19566,Auto,Sarjapur Road,Kudlu Gate,,,0,,0,,1,Other Issue,,,,,
5/19/2025,5:40,BKG100050,Success,CUST19900,Mini,Magadi Road,Bannerghatta Road,6,14,0,,0,,0,,728.31,24.7,4.9,4.9,Credit Card
5/31/2025,10:41,BKG100051,Incomplete,CUST13406,Prime Plus,Kalyan Nagar,Bellandur,,,0,,0,,1,Customer Demand,,,,,
5/9/2025,11:18,BKG100052,Cancelled by Customer,CUST10716,Prime SUV,HSR Sector 1,KR Puram,,,1,Driver asked to cancel,0,,0,,,,,,
5/8/2025,1:12,BKG100053,Success,CUST14335,Prime Plus,HSR Sector 1,Mahadevpura,9,15,0,,0,,0,,426.7,10.17,3.3,3.7,Wallet
5/21/2025,19:55,BKG100054,Cancelled by Driver,CUST12008,Mini,Banashankari,RT Nagar,,,0,,1,The customer was coughing/sick,0,,,,,,
5/6/2025,18:09,BKG100055,Cancelled by Driver,CUST14593,Prime Plus,Brookefield,Hoodi,,,0,,1,More than permitted people in there,0,,,,,,
5/3/2025,12:24,BKG100056,Success,CUST13112,Auto,HSR Sector 4,RT Nagar,2,9,0,,0,,0,,250.45,9.96,4.7,4.6,Cash
5/6/2025,12:14,BKG100057,Cancelled by Driver,CUST11513,Prime Plus,Shivajinagar,Yelahanka,,,0,,1,Personal & Car related issues,0,,,,,,
5/31/2025,22:36,BKG100058,Success,CUST10863,Bike,Hebbal,Ulsoor,7,12,0,,0,,0,,684.81,24.19,4.8,3.2,Debit Card
5/6/2025,16:40,BKG100059,Success,CUST13532,Mini,HSR Sector 1,HSR Sector 6,9,13,0,,0,,0,,769.46,20.97,3.5,4,Credit Card
5/13/2025,1:15,BKG100060,Success,CUST19182,Prime SUV,Horamavu,Sarjapur Road,4,7,0,,0,,0,,306.25,23.66,3.5,4.3,Cash
5/10/2025,14:36,BKG100061,Incomplete,CUST14858,Prime Sedan,Jayanagar,Kalyan Nagar,,,0,,0,,1,Vehicle Breakdown,,,,,
5/29/2025,18:37,BKG100062,Success,CUST15167,eBike,Electronic City,Kalena Agrahara,6,13,0,,0,,0,,182.57,2.27,3.1,3.2,Debit Card
5/15/2025,13:44,BKG100063,Cancelled by Driver,CUST12404,Bike,Brookefield,Rajajinagar,,,0,,1,Customer related issue,0,,,,,,
5/3/2025,11:12,BKG100064,Success,CUST12392,Bike,Shivajinagar,Ulsoor,4,13,0,,0,,0,,588.06,11.25,3.5,4.1,Cash
5/24/2025,11:23,BKG100065,Success,CUST14974,Prime Sedan,Electronic City,HSR Sector 4,2,11,0,,0,,0,,333.02,8.26,4.1,4.6,UPI
5/2/2025,22:56,BKG100066,Success,CUST13349,Bike,Marathahalli,Bommanahalli,7,8,0,,0,,0,,762.53,4.11,4.7,3.6,Credit Card
5/5/2025,13:55,BKG100067,Success,CUST18570,eBike,Jayanagar,Bannerghatta Road,5,10,0,,0,,0,,380.64,8.3,4.5,4.1,Wallet
5/3/2025,14:49,BKG100068,Success,CUST15740,Auto,Yelahanka,Bannerghatta Road,2,12,0,,0,,0,,491.94,11.82,3.5,3.5,UPI
5/1/2025,16:02,BKG100069,Cancelled by Customer,CUST15557,Prime Plus,Kalyan Nagar,Banashankari,,,1,Driver asked to cancel,0,,0,,,,,,
5/13/2025,17:24,BKG100070,Success,CUST18028,Bike,HSR Sector 7,Kalyan Nagar,2,10,0,,0,,0,,146.71,23.78,5,3.4,UPI
5/9/2025,14:47,BKG100071,Success,CUST19121,Prime Plus,Arekere,HSR Sector 6,3,5,0,,0,,0,,371.18,14.83,4,5,Cash
5/7/2025,23:25,BKG100072,Cancelled by Customer,CUST10883,eBike,Shivajinagar,Marathahalli,,,1,Wrong Address,0,,0,,,,,,
5/17/2025,3:27,BKG100073,Success,CUST14286,eBike,KR Puram,Marathahalli,7,7,0,,0,,0,,122.85,22.44,3.2,4.5,Wallet
5/23/2025,14:16,BKG100074,Cancelled by Customer,CUST14203,Prime Plus,HSR Sector 4,Mahadevpura,,,1,Wrong Address,0,,0,,,,,,
5/23/2025,5:37,BKG100075,Success,CUST17795,Prime Sedan,KR Puram,Sarjapur Road,6,11,0,,0,,0,,53.28,6.35,4.1,4.6,UPI
5/27/2025,21:03,BKG100076,Incomplete,CUST13502,Prime Plus,Nagarbhavi,RT Nagar,,,0,,0,,1,Customer Demand,,,,,
5/27/2025,23:41,BKG100077,Success,CUST16034,Bike,Peenya,Marathahalli,5,8,0,,0,,0,,209.02,22.59,3.2,3.5,Net Banking
5/15/2025,3:18,BKG100078,Success,CUST19657,Prime SUV,HSR Sector 4,Vijayanagar,3,5,0,,0,,0,,623.84,8.16,4.9,4.3,UPI
5/12/2025,23:57,BKG100079,Cancelled by Driver,CUST12815,Mini,RT Nagar,Kudlu Gate,,,0,,1,Customer related issue,0,,,,,,
5/24/2025,1:10,BKG100080,Success,CUST15341,Mini,Vijayanagar,Basavanagudi,10,8,0,,0,,0,,617.14,13.55,3.7,3.4,UPI
5/15/2025,23:23,BKG100081,Success,CUST17492,eBike,Ulsoor,Kudlu Gate,3,6,0,,0,,0,,79.16,11.85,3.7,4.1,Credit Card
5/31/2025,9:06,BKG100082,Success,CUST19200,Prime SUV,Shivajinagar,Peenya,9,11,0,,0,,0,,624.13,18.06,3.7,3.3,Wallet
5/31/2025,23:05,BKG100083,Success,CUST19071,Prime Plus,Yeshwanthpur,Shivajinagar,3,14,0,,0,,0,,683.35,4.2,4.3,4.3,Cash
5/8/2025,10:53,BKG100084,Success,CUST16607,eBike,Jayanagar,Kammanahalli,5,12,0,,0,,0,,139.68,19.46,3.5,3.4,Cash
5/8/2025,9:41,BKG100085,Success,CUST18311,Auto,JP Nagar,KR Puram,2,14,0,,0,,0,,651.19,17.31,4.5,3.9,Cash
5/15/2025,15:43,BKG100086,Success,CUST12925,Prime Plus,Devanahalli,Kammanahalli,9,7,0,,0,,0,,602.72,13.49,3.9,4.1,UPI
5/11/2025,8:07,BKG100087,Success,CUST16313,Auto,Malleshwaram,HSR Sector 3,6,5,0,,0,,0,,352.51,2.64,4,3.7,Wallet
5/7/2025,8:40,BKG100088,Success,CUST14153,Prime Plus,BTM Layout,Kalyan Nagar,2,12,0,,0,,0,,377.29,22.13,4.3,3.3,UPI
5/19/2025,19:08,BKG100089,Success,CUST11257,Bike,Nagarbhavi,Ulsoor,3,8,0,,0,,0,,440.89,3.32,4.2,4.4,Credit Card
5/30/2025,0:01,BKG100090,Success,CUST10596,Prime SUV,Hoodi,Horamavu,4,7,0,,0,,0,,213.93,14.92,4.2,3.7,UPI
5/7/2025,6:04,BKG100091,Success,CUST14553,Auto,Frazer Town,Kudlu Gate,5,10,0,,0,,0,,787.51,14.48,4.8,4,Net Banking
5/5/2025,5:18,BKG100092,Success,CUST19377,Mini,Hulimavu,Whitefield,3,15,0,,0,,0,,399.55,5.19,3.7,4.8,Wallet
5/14/2025,21:33,BKG100093,Cancelled by Customer,CUST12397,Prime Sedan,Brookefield,Magadi Road,,,1,Wrong Address,0,,0,,,,,,
5/7/2025,19:28,BKG100094,Success,CUST11412,Mini,MG Road,HSR Sector 3,2,11,0,,0,,0,,314.58,4.13,3.2,3.3,Debit Card
5/17/2025,0:35,BKG100095,Success,CUST18954,Mini,Bellandur,HSR Sector 3,8,10,0,,0,,0,,681.9,13.72,4.9,3.5,Cash
5/3/2025,14:01,BKG100096,Success,CUST14457,Auto,Ulsoor,Koramangala,5,12,0,,0,,0,,504.84,8.88,4.2,4.3,Debit Card
5/16/2025,19:13,BKG100097,Success,CUST17132,Prime Plus,Nagarbhavi,Shivajinagar,6,8,0,,0,,0,,325.75,2.21,4.3,4.5,Credit Card
5/18/2025,14:02,BKG100098,Incomplete,CUST16295,Mini,HSR Layout,Hulimavu,,,0,,0,,1,Vehicle Breakdown,,,,,
5/21/2025,14:09,BKG100099,Success,CUST18257,eBike,HSR Sector 3,Yelahanka,7,11,0,,0,,0,,390.55,20.18,4.6,4.7,UPI
5/24/2025,22:03,BKG100100,Success,CUST18141,Prime SUV,JP Nagar,HSR Sector 1,7,9,0,,0,,0,,388.17,7.53,4.4,3.4,Debit Card
5/20/2025,1:26,BKG100101,Cancelled by Customer,CUST17328,Mini,Mahadevpura,Marathahalli,,,1,Driver is not moving towards pickup location,0,,0,,,,,,
5/18/2025,12:54,BKG100102,Cancelled by Driver,CUST15162,Prime SUV,Jayanagar,Electronic City,,,0,,1,Customer related issue,0,,,,,,
5/18/2025,22:16,BKG100103,Success,CUST12380,Auto,Whitefield,Nagarbhavi,6,8,0,,0,,0,,97.75,2.09,3.9,3.4,Cash
5/7/2025,18:40,BKG100104,Success,CUST12277,Prime Plus,Nagarbhavi,Magadi Road,8,12,0,,0,,0,,152.2,17.85,4.4,4,Credit Card
5/5/2025,2:19,BKG100105,Cancelled by Customer,CUST13038,Prime SUV,HSR Sector 7,HSR Layout,,,1,Driver asked to cancel,0,,0,,,,,,
5/20/2025,17:52,BKG100106,Incomplete,CUST14601,Bike,Mahadevpura,Yelahanka,,,0,,0,,1,Customer Demand,,,,,
5/26/2025,11:06,BKG100107,Cancelled by Customer,CUST18201,Auto,HSR Sector 7,RT Nagar,,,1,Change of plans,0,,0,,,,,,
5/10/2025,6:35,BKG100108,Incomplete,CUST10257,eBike,Electronic City,Rajajinagar,,,0,,0,,1,Other Issue,,,,,
5/4/2025,1:39,BKG100109,Incomplete,CUST19524,Prime SUV,Marathahalli,Banashankari,,,0,,0,,1,Vehicle Breakdown,,,,,
5/4/2025,6:38,BKG100110,Cancelled by Customer,CUST19459,Bike,Jayanagar,Horamavu,,,1,Driver asked to cancel,0,,0,,,,,,
5/25/2025,11:12,BKG100111,Cancelled by Customer,CUST12615,Bike,Whitefield,Hebbal,,,1,Wrong Address,0,,0,,,,,,
5/11/2025,9:41,BKG100112,Success,CUST13079,Prime Plus,Bommanahalli,Frazer Town,2,11,0,,0,,0,,288.71,3.86,4.7,4.5,Credit Card
5/7/2025,21:32,BKG100113,Success,CUST10631,Prime Sedan,Nagarbhavi,Kudlu Gate,6,12,0,,0,,0,,549.41,20.05,4.7,3.3,Debit Card
5/30/2025,14:18,BKG100114,Success,CUST15082,Auto,RT Nagar,Hoodi,6,10,0,,0,,0,,60.96,9.69,3.1,4.6,Net Banking
5/21/2025,2:28,BKG100115,Success,CUST11414,Mini,Bellandur,HSR Sector 5,5,6,0,,0,,0,,705.89,19.82,4.7,3.4,Net Banking
5/24/2025,18:16,BKG100116,Success,CUST19364,eBike,Shivajinagar,Kudlu Gate,10,13,0,,0,,0,,299.57,3.38,3.3,4.4,Wallet
5/20/2025,20:40,BKG100117,Success,CUST13824,Prime Plus,Rajajinagar,HSR Sector 7,5,11,0,,0,,0,,149.56,11.01,3.5,4.6,Wallet
5/13/2025,18:29,BKG100118,Success,CUST19878,eBike,Yeshwanthpur,Jayanagar,2,14,0,,0,,0,,759.14,5.45,3.1,4.8,Cash
5/15/2025,12:39,BKG100119,Success,CUST19092,Prime SUV,Horamavu,Vijayanagar,9,11,0,,0,,0,,194.48,11.8,3.2,3.9,Debit Card
5/9/2025,7:35,BKG100120,Success,CUST19216,Prime Plus,Indiranagar,HSR Layout,3,9,0,,0,,0,,277.24,3.89,4.1,3.3,Net Banking
5/12/2025,11:45,BKG100121,Cancelled by Driver,CUST16869,Prime Plus,Ulsoor,Shivajinagar,,,0,,1,More than permitted people in there,0,,,,,,
5/3/2025,0:18,BKG100122,Success,CUST16662,Auto,HSR Sector 6,Mahadevpura,3,11,0,,0,,0,,733.1,13.34,3.7,4.6,Cash
5/19/2025,12:09,BKG100123,Success,CUST11092,Bike,Ulsoor,Domlur,5,15,0,,0,,0,,448.57,14.38,5,3.1,UPI
5/2/2025,3:27,BKG100124,Cancelled by Driver,CUST13255,Mini,Whitefield,Bannerghatta Road,,,0,,1,More than permitted people in there,0,,,,,,
5/24/2025,23:52,BKG100125,Success,CUST12323,Prime Plus,Rajajinagar,Horamavu,6,10,0,,0,,0,,793.68,17.23,4.9,4.1,UPI
5/12/2025,0:07,BKG100126,Success,CUST16128,Prime SUV,HSR Sector 7,Marathahalli,7,12,0,,0,,0,,679.45,9.04,3.2,3.6,Credit Card
5/21/2025,13:40,BKG100127,Cancelled by Customer,CUST17097,Prime Sedan,HSR Sector 3,KR Puram,,,1,Change of plans,0,,0,,,,,,
5/20/2025,6:03,BKG100128,Success,CUST19352,eBike,Marathahalli,Bellandur,3,15,0,,0,,0,,510.01,10.71,3.5,3.7,UPI
5/12/2025,16:21,BKG100129,Success,CUST18081,Auto,Kalyan Nagar,Rajajinagar,7,15,0,,0,,0,,151.16,4.34,4.4,3.4,Debit Card
5/25/2025,14:20,BKG100130,Cancelled by Driver,CUST17961,eBike,Electronic City,HSR Sector 3,,,0,,1,Personal & Car related issues,0,,,,,,
5/19/2025,5:48,BKG100131,Cancelled by Customer,CUST17009,Mini,Devanahalli,Devanahalli,,,1,AC is not working,0,,0,,,,,,
5/21/2025,14:40,BKG100132,Cancelled by Customer,CUST19237,eBike,Vijayanagar,Frazer Town,,,1,Change of plans,0,,0,,,,,,
5/16/2025,22:00,BKG100133,Success,CUST15170,Prime SUV,Devanahalli,Jayanagar,7,7,0,,0,,0,,494.66,6.33,4.2,4,Net Banking
5/2/2025,7:34,BKG100134,Cancelled by Driver,CUST15323,eBike,HSR Sector 5,Hoodi,,,0,,1,Personal & Car related issues,0,,,,,,
5/5/2025,23:33,BKG100135,Success,CUST18992,eBike,Jayanagar,Malleshwaram,6,12,0,,0,,0,,512.01,15.05,4.2,3.3,Debit Card
5/25/2025,10:39,BKG100136,Cancelled by Customer,CUST11402,eBike,Koramangala,HSR Sector 4,,,1,Driver asked to cancel,0,,0,,,,,,
5/29/2025,19:37,BKG100137,Success,CUST18432,eBike,HSR Sector 6,HSR Sector 4,10,9,0,,0,,0,,70.58,24.76,3.1,4.2,Debit Card
5/14/2025,3:52,BKG100138,Incomplete,CUST11646,Prime SUV,Horamavu,Banashankari,,,0,,0,,1,Customer Demand,,,,,
5/21/2025,10:58,BKG100139,Incomplete,CUST17224,Auto,Hulimavu,HSR Sector 7,,,0,,0,,1,Other Issue,,,,,
5/28/2025,20:12,BKG100140,Success,CUST13572,Prime Sedan,Domlur,Kalena Agrahara,5,6,0,,0,,0,,190.27,18.25,4.1,3.7,Wallet
5/22/2025,19:28,BKG100141,Success,CUST16957,Mini,Bellandur,Mahadevpura,3,9,0,,0,,0,,196.44,9.81,4.6,4.6,Net Banking
5/20/2025,19:51,BKG100142,Success,CUST19041,Prime SUV,KR Puram,Ulsoor,9,12,0,,0,,0,,160.68,10.27,4.8,3.4,Credit Card
5/14/2025,0:49,BKG100143,Success,CUST15661,eBike,Basavanagudi,KR Puram,3,12,0,,0,,0,,598.46,22.06,4.3,3.2,Wallet
5/21/2025,0:01,BKG100144,Cancelled by Customer,CUST18954,Auto,Hebbal,MG Road,,,1,Driver is not moving towards pickup location,0,,0,,,,,,
5/11/2025,16:24,BKG100145,Success,CUST14328,Bike,HSR Sector 1,JP Nagar,10,8,0,,0,,0,,270.43,3.29,3.2,5,Credit Card
5/18/2025,19:27,BKG100146,Cancelled by Driver,CUST13138,Prime SUV,HSR Sector 4,Peenya,,,0,,1,More than permitted people in there,0,,,,,,
5/15/2025,11:20,BKG100147,Success,CUST18096,Mini,HSR Sector 6,HSR Sector 4,3,7,0,,0,,0,,366.68,12.27,3.4,3.5,Net Banking
5/13/2025,3:31,BKG100148,Cancelled by Driver,CUST10591,Bike,Yeshwanthpur,Ulsoor,,,0,,1,More than permitted people in there,0,,,,,,
5/17/2025,6:01,BKG100149,Success,CUST18338,Auto,HSR Sector 1,Basavanagudi,2,12,0,,0,,0,,259.33,19.19,4.3,3.1,Cash
5/29/2025,22:32,BKG100150,Cancelled by Customer,CUST13635,eBike,BTM Layout,Mahadevpura,,,1,AC is not working,0,,0,,,,,,
5/3/2025,5:42,BKG100151,Success,CUST10239,Prime Plus,Nagarbhavi,HSR Sector 4,3,15,0,,0,,0,,92.61,9.87,4.1,3.6,Cash
5/6/2025,13:20,BKG100152,Cancelled by Customer,CUST17639,Prime Sedan,Kudlu Gate,Kalena Agrahara,,,1,Driver asked to cancel,0,,0,,,,,,
5/30/2025,1:42,BKG100153,Cancelled by Customer,CUST14674,Bike,Marathahalli,Kudlu Gate,,,1,Wrong Address,0,,0,,,,,,
5/31/2025,16:43,BKG100154,Cancelled by Customer,CUST16573,Prime SUV,Kammanahalli,Jayanagar,,,1,Driver asked to cancel,0,,0,,,,,,
5/17/2025,19:08,BKG100155,Success,CUST13845,Auto,Bellandur,JP Nagar,3,11,0,,0,,0,,492.97,22.39,5,4.3,UPI
5/18/2025,15:05,BKG100156,Success,CUST11015,Prime Sedan,Shivajinagar,Koramangala,6,15,0,,0,,0,,494.66,2.7,4,4.4,Wallet
5/30/2025,21:23,BKG100157,Cancelled by Customer,CUST14517,Prime SUV,Malleshwaram,HSR Sector 2,,,1,Driver asked to cancel,0,,0,,,,,,
5/8/2025,1:57,BKG100158,Cancelled by Customer,CUST10743,Bike,Hoodi,Peenya,,,1,AC is not working,0,,0,,,,,,
5/28/2025,10:30,BKG100159,Success,CUST16392,Prime Plus,Frazer Town,Koramangala,4,6,0,,0,,0,,634.71,10.09,3.2,4.4,Wallet
5/6/2025,8:33,BKG100160,Success,CUST10710,Prime SUV,JP Nagar,Yeshwanthpur,2,5,0,,0,,0,,617,4.79,3.4,5,UPI
5/19/2025,5:05,BKG100161,Success,CUST12747,Prime Plus,Jayanagar,Jayanagar,3,11,0,,0,,0,,107.78,19.95,3.4,4.6,Debit Card
5/24/2025,13:19,BKG100162,Success,CUST10512,Mini,Bellandur,Brookefield,8,15,0,,0,,0,,424.11,2.55,4.3,3.8,Net Banking
5/30/2025,15:20,BKG100163,Cancelled by Customer,CUST19437,Bike,MG Road,Bellandur,,,1,Driver asked to cancel,0,,0,,,,,,
5/21/2025,18:02,BKG100164,Success,CUST17351,eBike,HSR Sector 1,Horamavu,8,5,0,,0,,0,,751.93,12.07,4.6,3.2,Net Banking
5/22/2025,10:27,BKG100165,Success,CUST19525,Prime Sedan,Devanahalli,HSR Layout,10,14,0,,0,,0,,51.8,18.6,4.1,4.5,Cash
5/4/2025,20:53,BKG100166,Success,CUST16118,Prime Sedan,HSR Sector 6,RT Nagar,10,13,0,,0,,0,,70.95,21.36,4.3,3.2,Debit Card
5/4/2025,11:26,BKG100167,Success,CUST16484,Bike,Devanahalli,Vijayanagar,6,13,0,,0,,0,,271.44,16.26,3.2,4.6,Wallet
5/13/2025,15:23,BKG100168,Success,CUST19103,Prime SUV,JP Nagar,Sarjapur Road,7,11,0,,0,,0,,178.44,12.68,3.1,3.9,Debit Card
5/2/2025,15:11,BKG100169,Success,CUST14133,Bike,Koramangala,Peenya,10,6,0,,0,,0,,559.41,14.58,3.9,4.5,Net Banking
5/11/2025,4:33,BKG100170,Success,CUST14183,eBike,Basavanagudi,Basavanagudi,2,6,0,,0,,0,,772.19,23.16,3.1,3.8,Debit Card
5/22/2025,17:38,BKG100171,Success,CUST13785,Auto,Peenya,Frazer Town,7,8,0,,0,,0,,548.05,9.6,4.6,3.4,Net Banking
5/25/2025,22:22,BKG100172,Cancelled by Customer,CUST19805,eBike,Koramangala,Devanahalli,,,1,Driver asked to cancel,0,,0,,,,,,
